NIVEL;CURSO;OA;COD_ASG;ASIGNATURA;CATEGORIA;DESCRIPCION
M;2M;OAA F;AR2M;Artes Visuales;Actitudes;Compartir trabajos y proyectos visuales con su comunidad o en otros círculos.
M;2M;OAA G;AR2M;Artes Visuales;Actitudes;Buscar, evaluar y usar información disponible en diversos medios y fuentes.
M;2M;OAA H;AR2M;Artes Visuales;Actitudes;Demostrar disposición a trabajar en equipo, colaborar con otros y aceptar consejos y críticas.
B;1B;OA 01;CN01;Ciencias Naturales;Aprendizajes Basales;Reconocer y observar, por medio de la exploración, que los seres vivos crecen, responden a estímulos del medio, se reproducen y necesitan agua, alimento y aire para vivir, comparándolos con las cosas no vivas.
B;1B;OA 02;CN01;Ciencias Naturales;Aprendizajes Complementarios;Observar y comparar animales de acuerdo a características como tamaño, cubierta corporal, estructuras de desplazamiento y hábitat, entre otras.
B;1B;OA 03;CN01;Ciencias Naturales;Aprendizajes Complementarios;Observar e identificar, por medio de la exploración, las estructuras principales de las plantas: hojas, flores, tallos y raíces.
B;1B;OA 04;CN01;Ciencias Naturales;Aprendizajes Complementarios;Observar y clasificar semillas, frutos, flores y tallos a partir de criterios como tamaño, forma, textura y color, entre otros.
B;1B;OA 05;CN01;Ciencias Naturales;Aprendizajes Basales;Reconocer y comparar diversas plantas y animales de nuestro país, considerando las características observables, y proponiendo medidas para su cuidado.
B;1B;OA 06;CN01;Ciencias Naturales;Aprendizajes Basales;Identificar y describir la ubicación y la función de los sentidos proponiendo medidas para protegerlos y para prevenir situaciones de riesgo.
B;1B;OA 07;CN01;Ciencias Naturales;Aprendizajes Complementarios;Describir, dar ejemplos y practicar hábitos de vida saludable para mantener el cuerpo sano y prevenir enfermedades (actividad física, aseo del cuerpo, lavado de alimentos y alimentación saludable, entre otros).
B;1B;OA 08;CN01;Ciencias Naturales;Aprendizajes Basales;Explorar y describir los diferentes tipos de materiales en diversos objetos, clasificándolos según sus propiedades (goma-flexible, plástico-impermeable) e identificando su uso en la vida cotidiana.
B;1B;OA 09;CN01;Ciencias Naturales;Aprendizajes Basales;Observar y describir los cambios de los materiales al aplicarles fuerza, luz, calor y agua.
B;1B;OA 10;CN01;Ciencias Naturales;Aprendizajes Complementarios;Diseñar instrumentos tecnológicos simples considerando diversos materiales y sus propiedades para resolver problemas cotidianos.
B;1B;OA 11;CN01;Ciencias Naturales;Aprendizajes Basales;Describir y registrar el ciclo diario y las diferencias entre el día y la noche, a partir de la observación del Sol, la Luna, las estrellas y la luminosidad del cielo, entre otras, y sus efectos en los seres vivos y el ambiente.
B;1B;OA 12;CN01;Ciencias Naturales;Aprendizajes Complementarios;Describir y comunicar los cambios del ciclo de las estaciones y sus efectos en los seres vivos y el ambiente.
B;1B;OAA A;CN01;Ciencias Naturales;Actitudes;Demostrar curiosidad e interés por conocer seres vivos, objetos y/o eventos que conforman el entorno natural.
B;1B;OAA B;CN01;Ciencias Naturales;Actitudes;Manifestar un estilo de trabajo riguroso y perseverante para lograr los aprendizajes de la asignatura.
B;1B;OAA C;CN01;Ciencias Naturales;Actitudes;Reconocer la importancia del entorno natural y sus recursos, desarrollando conductas de cuidado y protección del ambiente.
B;1B;OAA D;CN01;Ciencias Naturales;Actitudes;Asumir responsabilidades e interactuar en forma colaborativa y flexible en los trabajos en equipo, aportando y enriqueciendo el trabajo común.
B;1B;OAA E;CN01;Ciencias Naturales;Actitudes;Manifestar compromiso con un estilo de vida saludable a través del desarrollo físico y el autocuidado.
B;1B;OAA F;CN01;Ciencias Naturales;Actitudes;Reconocer la importancia de seguir normas y procedimientos que resguarden y promuevan la seguridad personal y colectiva.
B;1B;OAH a;CN01;Ciencias Naturales;Habilidades;Explorar y observar la naturaleza, usando los sentidos apropiadamente durante investigaciones experimentales guiadas.
B;1B;OAH b;CN01;Ciencias Naturales;Habilidades;Explorar y experimentar, en forma guiada, con elementos del entorno, utilizando la observación, la medición con unidades no estandarizadas y la manipulación de materiales simples.
B;1B;OAH c;CN01;Ciencias Naturales;Habilidades;Seguir las instrucciones para utilizar los materiales e instrumentos en forma segura.
B;1B;OAH d;CN01;Ciencias Naturales;Habilidades;Comunicar y comparar con otros sus ideas, observaciones y experiencias de forma oral y escrita, y por medio de juegos de roles y dibujos, entre otros.
B;2B;OA 01;CN02;Ciencias Naturales;Aprendizajes Complementarios;Observar, describir y clasificar los vertebrados en mamíferos, aves, reptiles, anfibios y peces, a partir de características como cubierta corporal, presencia de mamas y estructuras para la respiración, entre otras.
B;2B;OA 02;CN02;Ciencias Naturales;Aprendizajes Complementarios;Observar, describir y clasificar, por medio de la exploración, las características de los animales sin columna vertebral, como insectos, arácnidos, crustáceos, entre otros, y compararlos con los vertebrados.
B;2B;OA 03;CN02;Ciencias Naturales;Aprendizajes Basales;Observar y comparar las características de las etapas del ciclo de vida de distintos animales (mamíferos, aves, insectos y anfibios), relacionándolas con su hábitat.
B;2B;OA 04;CN02;Ciencias Naturales;Aprendizajes Complementarios;Observar y comparar las características de distintos hábitat, identificando la luminosidad, humedad y temperatura necesarias para la supervivencia de los animales que habitan en él.
